ItemNum,Condition,Sentence,Question,Answer
81,Control,The lecherous satyr chased after a beautiful lithe wood nymph.,Was the pursued creature especially clumsy? ,No
82,Control,Two important fluids in the body are blood and lymph.,Is the sentence about bones? ,No
83,Control,"The circus featured an acrobat, a clown, and a juggler.",Was there a clown at the performance? ,Yes
84,Control,"She lunged towards his neck, going right for the jugular.",Was she trying to make him trip?  ,No
85,Control,"In the nineties, the Rugrats was a very popular cartoon.",Was the Rugrats obscure during the nineties? ,No
86,Control,The child made a caterpillar from an old egg carton.,Did the child make a caterpillar? ,Yes
87,Control,Handling the rough wooden plank gave the woman a splinter.,Had the plank been sanded down? ,No
88,Control,Cats were the only company for this lonely old spinster.,Were the companion animals aquatic? ,No
89,Control,"Candidates must be citizens, but that is the only stipulation.",Is citizenship required? ,Yes
90,Control,He had a short attention span and needed constant stimulation.,Did he concentrate easily? ,No
91,Control,She was vaccinated so her body would developed an immunity.,Was the injection an anesthetic? ,No
92,Control,"Incensed at the captain, the crew staged a full-scale mutiny.",Were the sailors angry? ,Yes
93,Control,The mason built his own house of brick and mortar.,Did he make a wooden house? ,No
94,Control,The goddess refused to be bested by a mere mortal.,Was the deity okay with losing? ,No
95,Control,"Like the IRS and FBI, CIA is another three-letter abbreviation.",Were they similar because they rhymed? ,No
96,Control,The thesaurus shows that a synonym for drunkenness is inebriation.,Was the word in the thesaurus? ,Yes
97,Control,A lolcat is cat photograph with a humorous ungrammatical caption.,Does the sentence mention a photo? ,Yes
98,Control,The sailors feared the harsh discipline of this ship captain.,Does the sentence mention sailors?,Yes
99,Control,The teacher taught that subtraction was the opposite of addition.,Was the lesson about grammar? ,No
100,Control,The flute player nervously prepared an excerpt for an audition.,Did the musician feel anxious? ,Yes
101,Control,The museum pass provides five dollars off of each admission.,Does the pass apply to only one admission? ,No
102,Control,"""Never stay out past midnight,"" was his mother's strict admonition.",Was he allowed to be out at two in the morning?,No
103,Control,Old car engines mixed fuel and air in a carburetor.,Did the engines mix air with the fuel? ,Yes
104,Control,Edith Piaf's extraordinary singing career was begun in a cabaret.,Was Edith Piaf an actress? ,No
105,Control,On the mountaintop we felt dizzy because of this altitude.,Were we up quite high? ,Yes
106,Control,The coach scolded the player for having a bad attitude.,Was the student rebuked by a peer? ,No
107,Control,The college sent out a newsletter to all its alumni.,Does the sentence mention a college? ,Yes
108,Control,Soda cans and tin foil are both made of aluminum.,Are soda cans made from petroleum? ,No
109,Control,The princess arrived at the ball in a horse-drawn carriage.,Did the princess come to the ball? ,Yes
110,Control,The printer needed more paper and a new ink cartridge.,Was the printer out of paper? ,Yes
111,Control,Marie Curie died of exposure to radiation from this radium.,Did radiation cause her death? ,Yes
112,Control,No light escapes the black hole once within this radius.,Can high-energy light escape the black hole? ,No
113,Control,The United States has a large stockpile of nuclear armaments.,Do the weapons belong to the US? ,Yes
114,Control,The Christmas tree was decorated with many shining glass ornaments.,Were the decorations for Halloween? ,No
115,Control,Blackmail is just one of many weapons in this arsenal.,Does this weapon contain gunpowder? ,No
116,Control,The detectives discovered the professor was poisoned with this arsenic.,Was the victim a professor? ,Yes
117,Control,The cheapest lunchmeat at this grocery store is this baloney.,Does this shop sell food? ,Yes
118,Control,Romeo longingly admired Juliet as she stood on this balcony.,Was she seated? ,No
119,Control,"He soon backed away, sensing he had crossed a boundary.",Did he retreat? ,Yes
120,Control,Capture or kill the wanted criminal to collect a bounty.,Can the outlaw be shot? ,Yes
121,Sem,The celebrating couple joyfully popped open a bottle of armaments.,Were they happy? ,Yes
122,Sem,"The slogan ""change"" was a focus of that presidential damnation.",Was the focal point a specific policy? ,No
123,Sem,A syllogism is a common form of a deductive peasantry.,Does the sentence mention a reptile? ,No
124,Sem,The napalm turned the luscious forest into a fiery attitude.,Was the forest fire started by campers? ,No
125,Sem,I blacked out and was confused when I regained duration.,Was I disoriented when I awoke? ,Yes
126,Sem,"After she deceived her mother, she had a guilty musket.",Was she proud of her trickery? ,No
127,Sem,The sudden change in protocol had caused all this inflection.,Was the transition gradual? ,No
128,Sem,The Big Dipper may perhaps be the most famous immunity.,Do many people know about it? ,Yes
129,Sem,The herd of cows was out grazing in an altercation.,Was it a herd of horses? ,No
130,Sem,The congregation listens to a sermon delivered by an escalation.,Are the people listening? ,Yes
