ItemNum,Condition,Sentence,Question,Answer
1,Control,Someone who has fought in a war is a veteran.,Does the sentence mention a war? ,Yes
2,Control,The woman brought her sick pet dog to a veterinarian.,,
3,Control,The vintage wedding dress was big and required an alteration.,,
4,Control,Mediators prevented the dispute from escalating into a violent altercation.,,
5,Control,The storyteller could turn any incident into an amusing anecdote.,,
6,Control,She saved him from the poison by administering an antidote.,Did she save him by amputating? ,No
7,Control,Clownfish have evolved invulnerability to the poison tentacles of anemones.,Are the fish specially adapted? ,Yes
8,Control,The upscale apartment was complete with all these modern amenities.,Did the residence need an upgrade? ,No
9,Control,The flooded river fertilized the fields with a rich sediment.,Did the river overflow its banks? ,Yes
10,Control,Political corruption and economic hardship fueled a growing anti-government sentiment.,Were people increasingly pro-government? ,No
11,Control,Up on the tree branch perched a bright red cardinal.,Does the sentence mention a tree? ,Yes
12,Control,There is a beanbag toss game booth at this carnival.,Were the beanbags for a game? ,Yes
13,Control,The reagents reacted faster in the presence of a catalyst.,Was the reaction rate increased? ,Yes
14,Control,"After hours of playing, the guitarist's fingertips developed a callus.",Did the musician play the guitar? ,Yes
15,Control,Pikemen can be an effective defense against a charging cavalry.,Does the sentence mention a fish? ,No
16,Control,The dentist congratulated me on not having a single cavity.,Did the dentist scold me? ,No
17,Control,After my root canal the dentist prescribed a pain medication.,Did the dentist write a prescription? ,Yes
18,Control,The monk sat quietly and fell into a deep meditation.,Was the monk seated? ,Yes
19,Control,Her grandmother's pennies inspired her to start a coin collection.,,
20,Control,The teacher interrupted his sentence to make a grammatical correction.,Was he interrupted by a fire alarm? ,No
21,Control,An intense tension headache can be mistaken for a migraine.,Does the sentence mention a headache? ,Yes
22,Control,Harvesting crops is often the job of a seasonal migrant.,,
23,Control,"The zoo had two giraffes, an elephant, and a rhino.",Does the sentence mention a zebra? ,No
24,Control,The child wore a glittery crown with a pink rhinestone.,,
25,Control,The cause of death must be determined by a coroner.,Was the reason for the death already known? ,No
26,Control,His office is down at the end of this corridor.,,
27,Control,Statisticians emphasize that causation is not implied by a correlation.,Does the sentence mention statistics? ,Yes
28,Control,The king knelt to be crowned at an official coronation.,Was the monarch crowned while standing? ,No
29,Control,The moth attracted a mate by releasing a potent pheromone.,Did the insect attract a mate? ,Yes
30,Control,The archeologists found the mummy of a young Egyptian pharaoh.,Was the mummy discovered by a paleontologist? ,No
31,Control,The student went to medical school to become a physician.,,
32,Control,A new gravitational theory was proposed by an eminent physicist.,,
33,Control,Blinking causes a momentary pupil contraction followed by a dilation.,Does the sentence mention the iris? ,No
34,Control,The bleach is too concentrated and requires a 1-in-5 dilution.,,
35,Control,"The whining alarm shut off, finally silencing this annoying distraction.",Was the alarm irritating? ,Yes
36,Control,The vicious cyclone tragically caused many deaths and much destruction.,Were the deaths caused by the weather? ,Yes
37,Control,"Disgusted, she pulled away from his touch with a shudder.",Was she grossed out?   ,Yes
38,Control,One window on the dilapidated house was missing a shutter.,Was the house in ill repair? ,Yes
39,Control,Rupert Murdoch is the owner of a vast media empire.,Does the sentence mention a writer? ,Yes
40,Control,The baseball player felt cheated and swore at an umpire.,Was the player a tennis player? ,No
41,Control,The Caribbean cruise package includes this kayaking† and snorkeling excursion.,,
42,Control,He had sprinted and was still sweating from this exertion.,Had he been lifting weights? ,No
43,Control,The study of sounds in language is known as phonology.,Does the sentence mention music? ,No
44,Control,The pseudoscience of inferring personality from skull measurements is phrenology.,Does the sentence mention palm reading? ,No
45,Control,The casket was carried to the cemetery in a hearse.,Does the sentence mention a cemetary? ,Yes
46,Control,"Each winter evening, the family gathers around a warm hearth.",,
47,Control,The heat felt even worse because of all this humidity.,Was the warmth unpleasant? ,Yes
48,Control,The sermon denounced pride and extolled the virtue of humility.,,
49,Control,The scientist designed an experiment to test a controversial hypothesis.,Did the scientist design a robot? ,No
50,Control,Use Pythagoras' theorem to find the length of a hypotenuse.,,
51,Control,The preacher believed drunkenness was the cause of much immorality.,,
52,Control,The artist achieved eternal fame despite not seeking this immortality.,,
53,Control,"After the Holocaust, German history could never escape this infamy.",,
54,Control,"Despite technological advances, wars cannot be won without an infantry.",,
55,Control,"Oh, yes, very impressive, she drawled with a sarcastic inflection.",,
56,Control,Medics cleaned and bandaged the wound to prevent an infection.,Did the medics suture the wound? ,No
57,Control,"The three kings bore gifts of gold, myrrh, and frankincense.",Were the gifts brought by women? ,No
58,Control,It's alive! he cackled as he animated this monster Frankenstein.,,
59,Control,This docile herbivorous aquatic mammal is known as a manatee.,Is the creature a mammal? ,Yes
60,Control,The afternoon showing cost less because it was a matinee.,Was the show less expensive?  ,Yes
61,Control,Apply this eyeliner and brush your lashes with this mascara.,,
62,Control,She danced with an elegant masked gentleman at that masquerade.,Did the man hide his face? ,Yes
63,Control,Feudal lords lived off the labor of an oppressed peasantry.,,
64,Control,The hostess greeted her guests with a light social pleasantry.,Did the woman have guests? ,Yes
65,Control,Senator McCarthy accused the screenwriter of being a Communist sympathizer.,,
66,Control,The computer could read text aloud using a speech synthesizer.,Does the sentence mention a teacher? ,No
67,Control,The castle wall was adorned with a beautiful woven tapestry.,Was the decoration on the floor? ,No
68,Control,He denounced the novel's film adaptation as a complete travesty.,,
69,Control,The ring held small diamonds set around this blue sapphire.,,
70,Control,The rice was spiced with a pinch of that saffron.,,
