subj	order	list	item	condition	sentence	question	correct_answer	response
555	0	4	32	GoodExp	After a good night's sleep she felt invigorated and refreshed.	NA	NA	3	2.068010800052434
555	1	4	132	Filler	Many movies depict teen girls as completely obsessed with popularity.	NA	NA	3	1.1099267001263797
555	2	4	40	Sem	The baseball player felt cheated and swore at a coronation.	NA	NA	3	1.196552800014615
555	3	4	164	Filler	The missionary hoped that many local people would be converted.	NA	NA	3	0.9345476999878883
555	4	4	217	Filler	The legislators hoped to induce a more equal income distribution.	NA	NA	3	0.9728616001084447
555	5	4	204	Filler	The student raced to finish the paper before the deadline.	NA	NA	3	0.8398087997920811
555	6	4	215	Filler	Although the auditorium is modern, it has quite poor acoustics.	NA	NA	3	1.7527656997554004
555	7	4	64	Synt	The hostess greeted her guests with a light social pleasantries.	NA	NA	3	3.0814162003807724
555	8	4	33	Sem	Blinking causes a momentary pupil contraction followed by a mutiny.	NA	NA	3	5.165006899740547
555	9	4	47	Filler	When the toy proved hazardous, the victims sued the manufacturer.	NA	NA	3	2.2869711997918785
555	10	4	86	SemCrit	The child made a caterpillar from an old egg cartoon.	NA	NA	3	0.7552152001298964
555	11	4	35	Sem	The whining alarm shut off, finally silencing this annoying mascara.	NA	NA	3	1.1978301000781357
555	12	4	69	Synt	The ring held small diamonds set around this blue sapphires.	NA	NA	3	0.7584838001057506
555	13	4	39	Sem	Rupert Murdoch is the owner of a vast media meditation.	NA	NA	3	5.430862499866635
555	14	4	6	GoodExp	Right-to-die activists believe it should be legal to perform euthanasia.	NA	NA	3	0.5506613999605179
555	15	4	108	SemCrit	Soda cans and tin foil are both made of alumni.	Are soda cans made from petroleum? 	No	3	1.9219957999885082
555	16	4	244	Filler	Years after the murder, the case remains shrouded in mystery.	NA	NA	3	0.9922794997692108
555	17	4	209	Filler	The crying infant was calmed by its mother's soothing lullaby.	NA	NA	3	0.592563500162214
555	18	4	123	Filler	The public swimming pool was carefully supervised by a lifeguard.	NA	NA	3	0.7998442999087274
555	19	4	20	Filler	You should write all your appointments down in your calendar.	NA	NA	3	0.8318071998655796
555	20	4	156	Control	To protect herself from the sun, she carried a parasol.	NA	NA	3	1.1597778997384012
555	21	4	102	SemCrit	"Never stay out past midnight," was his mother's strict admission.	NA	NA	3	3.494395100045949
555	22	4	214	Filler	Although hedgehogs are nocturnal, they sometimes enjoy rays of sunshine.	NA	NA	3	0.6660159998573363
555	23	4	69	Filler	The breeding ground was set aside as a wildlife sanctuary.	NA	NA	3	1.3952978998422623
555	24	4	210	Filler	Ambush, sabotage, and retreat are essential tactics in guerilla warfare.	Is entrenchment an important tactic? 	No	3	0.9966307003051043
555	25	4	135	Control	The crowded urban neighborhood had a very high population density.	NA	NA	3	1.1002310998737812
555	26	4	97	Filler	A pessimistic prediction can quite often become a self-fulfilling prophecy.	NA	NA	3	1.1577979996800423
555	27	4	12	GoodExp	She disliked public displays of affection, like kissing or hugging.	NA	NA	3	0.6918092002160847
555	28	4	155	Control	Intestinal problems may indicate a tapeworm, a type of parasite.	NA	NA	3	1.8764395001344383
