subj,order,list,item,condition,sentence,question,correct_answer,response
999,0,4,52,Filler,She searched under the couch cushions for the television remote.,Did she search under the bed? ,No,2,2.4004209999693558
999,1,4,163,Filler,The teacher's experience as a counselor gave her valuable insight.,NA,NA,return,1.6636498000007123
999,2,4,105,Sem,On the mountaintop we felt dizzy because of this conscience.,NA,NA,return,4.367514499928802
999,3,4,9,SemCrit,The flooded river fertilized the fields with a rich sentiment.,NA,NA,return,3.5648637999547645
999,4,4,247,Filler,The woman used the ATM to make a cash withdrawal.,NA,NA,return,1.9498237000079826
999,5,4,85,Sem,In the nineties, the Rugrats was a very popular boundary.,NA,NA,return,2.309450799948536
999,6,4,41,Synt,The Caribbean cruise package includes this kayaking� and snorkeling excursions.,NA,NA,return,1.4773447000188753
999,7,4,5,Filler,He could no longer remember anything because of his amnesia.,NA,NA,return,1.116839800029993
999,8,4,92,Sem,Incensed at the captain, the crew staged a full-scale correlation.,NA,NA,return,1.3508053999394178
999,9,4,254,Filler,The main ingredient in a Caesar salad is Romaine lettuce.,NA,NA,return,0.7521600000327453
999,10,4,60,Filler,Because shampoo is a cosmetic, it is subject to regulation.,Does the sentence mention lipstick? ,No,2,2.6322390999412164
999,11,4,62,Synt,She danced with an elegant masked gentleman at that masquerades.,NA,NA,return,1.954513999982737
999,12,4,17,GoodExp,The earth shook and buildings crumbled in the massive earthquake.,Were the buildings damaged by high winds? ,No,1,6.833281599916518
999,13,4,201,Filler,As the population ages, more adults find themselves becoming caregivers.,NA,NA,return,1.662547399988398
999,14,4,194,Filler,The room's décor was overwhelmed by the extravagant floral wallpaper.,NA,NA,return,2.606260000029579
999,15,4,18,Filler,You can make positive change if you take the initiative.,NA,NA,return,1.2172479999717325
999,16,4,199,Filler,I found her fascination with the deaths just plain morbid.,NA,NA,return,0.9279838000657037
999,17,4,154,Filler,A conscientious objector refuses the draft because of religious convictions.,NA,NA,return,0.4827208999777213
999,18,4,149,Control,The soldier rammed gunpowder down the barrel of a musket.,NA,NA,return,0.8149599999887869
999,19,4,62,Filler,The language savant suffered brain damage in a car accident.,NA,NA,return,0.7895627999678254
999,20,4,198,Filler,Law enforcement officials cannot search your home without a warrant.,Do the police need a warrant to search a house? ,Yes,1,3.1976350999902934
999,21,4,43,Filler,The Pantheon in Rome is a marvel of ancient architecture.,Is the building in Venice? ,No,2,1.8962256000377238
999,22,4,257,Filler,To her coffee she added a package of artificial sweetener.,Did she put a cube of sugar in her coffee? ,No,2,2.3685298999771476
999,23,4,133,Control,That white dog with little black spots is a dalmatian.,Was the creature a canine? ,Yes,1,2.467958000022918
999,24,4,29,GoodExp,The poachers want to sell the tusks of these elephants.,Are they trying to sell animal furs? ,No,2,3.76066000002902
999,25,4,174,Filler,At the airport they finally parted after exchanging tearful farewells.,Was the water's temperature consistently monitored? ,No,1,60.034730799961835
999,26,4,147,Control,The contraction for "it is" needs to include an apostrophe.,NA,NA,return,51.86845379997976
999,27,4,46,Synt,Each winter evening, the family gathers around a warm hearths.,Does the family gather berries? ,No,2,2.0344650000333786
999,28,4,131,Filler,Witnessing war, rape, or physical abuse can be extremely traumatic.,Does the sentence mention natural disasters? ,No,2,4.84354750008788
999,29,4,159,Control,Claiming two wrongs make a right is a common fallacy.,Do people make this claim often? ,Yes,1,2.184984099934809
999,30,4,64,Synt,The hostess greeted her guests with a light social pleasantries.,Did the woman have guests? ,Yes,1,11.853677200037055
999,31,4,90,Sem,He had a short attention span and needed constant sediment.,Did he concentrate easily? ,No,2,1.7424486998934299
999,32,4,160,Control,Don't call it a prison; call it a correctional facility.,NA,NA,return,0.7248133999528363
999,33,4,106,Sem,The coach scolded the player for having a bad shutter.,NA,NA,return,1.6566677000373602
999,34,4,127,Control,The sudden change in protocol had caused all this consternation.,Was the transition gradual? ,No,2,4.260264000040479
999,35,4,13,Filler,After being arrested for substance abuse, he voluntarily underwent rehabilitation.,Did he submit to treatment willingly? ,Yes,1,1.480957999941893
999,36,4,158,Filler,The ill airplane passenger was aided by the flight attendant.,Was the attendant helpful?  ,Yes,1,1.234004299971275
999,37,4,108,Filler,Gossip about the celebrity scandal was paraded through the tabloids.,Did the media learn of the scandal? ,Yes,1,1.6713281000265852
999,38,4,277,Filler,The toxic pollution was killing wildlife and ruining the environment.,Was the pollution poisonous? ,Yes,1,1.7358781000366434
999,39,4,104,Sem,Edith Piaf's extraordinary singing career was begun in a thermos.,NA,NA,return,4.05690689990297
999,40,4,165,Filler,She believed herself in love, but it was just infatuation.,Was she really in love? ,No,2,1.6031004999531433
999,41,4,206,Filler,He became so suspicious that he hired a private investigator.,Did he hire a detective? ,Yes,1,3.0848673000000417
999,42,4,118,Filler,The tropical greenhouse was filled with ferns, hibiscus, and orchids.,Were the plants in a greenhouse? ,Yes,2,2.744100600015372
999,43,4,91,Filler,The company's juice was always fresh squeezed, never from concentrate.,Did the company sometimes make juice from concentrate? ,No,2,2.1008358999388292
999,44,4,131,Control,A soldier fighting for the highest bidder is a mercenary.,NA,NA,return,0.9655857000034302
999,45,4,46,Filler,The entire temple reverberated with the monks' steady rhythmic chanting.,Was the temple eerily silent? ,No,2,1.5430587000446394
999,46,4,65,Synt,Senator McCarthy accused the screenwriter of being a Communist sympathizers.,NA,NA,return,0.8969411000143737
999,47,4,87,Filler,Reading regularly is the best way to improve your vocabulary.,Is writing the best way to learn new words? ,No,2,2.2623337999684736
999,48,4,189,Filler,The doctor carefully inspected the blood sample through a microscope.,Was the sample a urine sample? ,No,2,1.8036188000114635
999,49,4,6,SemCrit,She saved him from the poison by administering an anecdote.,NA,NA,return,2.2919320999644697
999,50,4,40,SemCrit,The baseball player felt cheated and swore at an empire.,Was the player a tennis player? ,No,1,3.9947106000036
999,51,4,57,Filler,She took a ballroom dancing class to learn the tango.,Did she want to learn to dance? ,Yes,1,6.01511819998268
999,52,4,74,Synt,The powerful cheetah sprinted in pursuit of a baby gazelles.,Was the cheetah running? ,Yes,1,5.396095400094055
999,53,4,158,Control,Blizzards are deadly hazards for explorers on an arctic expedition.,Can the weather be dangerous? ,Yes,1,1.7158992999466136
999,54,4,95,Sem,Like the IRS and FBI, CIA is another three-letter mobility.,Were they similar because they rhymed? ,No,2,63.57013610005379
999,55,4,126,Filler,The mobster was caught and charged with blackmail and extortion.,Was the mobster captured? ,Yes,1,1.2512771000619978
999,56,4,36,Filler,The princess lived in a castle guarded by a dragon.,Did she live in a dragon cave? ,No,2,2.004194099921733
999,57,4,47,Filler,When the toy proved hazardous, the victims sued the manufacturer.,Did they sue the government? ,No,2,4.846672700019553
999,58,4,8,Filler,She always made a list before going shopping for groceries.,NA,NA,return,1.5955476999515668
999,59,4,31,Filler,A shimmering pearl lay on the shell of the oyster.,Does the sentence mention a sea shell? ,Yes,2,9.496737699955702
999,60,4,121,Filler,We watched setting sun and lingered together in the twilight.,Was the sun rising? ,Yes,2,1.4680673000402749
999,61,4,9,Filler,The workers went on strike to demand better living conditions.,Did the workers want better living conditions? ,Yes,1,1.4715951000107452
999,62,4,170,Filler,Malls often offer many dining options in the food court.,Is it often difficult to find a place to eat in the mall? ,No,2,2.693430699990131
999,63,4,156,Filler,Upon seeing the dead body, he pulled away in revulsion.,Was he disgusted by a rotting piece of fruit? ,No,2,2.4207222000695765
999,64,4,209,Filler,The crying infant was calmed by its mother's soothing lullaby.,Did the baby's mother sing? ,Yes,1,1.93116239993833
999,65,4,69,Filler,The breeding ground was set aside as a wildlife sanctuary.,Was the area protected? ,Yes,1,2.4323123999638483
999,66,4,81,Sem,The lecherous satyr chased after a beautiful lithe wood destiny.,Was the pursued creature especially clumsy? ,No,2,4.823745000059716
999,67,4,7,GoodExp,Tourists gazed at the temple's magnificent rows of marble columns.,Were the columns part of a temple? ,Yes,1,4.044142000027932
999,68,4,182,Filler,You should be careful to speak respectfully to your superiors.,Should you watch your tongue around your boss? ,Yes,1,1.683759200037457
999,69,4,21,GoodExp,The lighthouse built on the rocky coast prevented many shipwrecks.,Was the coastline dangerous? ,Yes,1,1.012190599925816
999,70,4,63,Filler,Without painkillers, the agony from her injury was utterly unbearable.,Was she suffering from cramps? ,No,2,2.2415042999200523
999,71,4,279,Filler,Although the rules are flexible, the deadlines must be met.,Are the regulations very strict? ,No,1,1.7112158000236377
999,72,4,108,Sem,Soda cans and tin foil are both made of exertion.,Are soda cans made from petroleum? ,No,2,3.285862599965185
999,73,4,4,SemCrit,Mediators prevented the dispute from escalating into a violent alteration.,Was there a disagreement? ,Yes,1,1.1297895999159664
999,74,4,173,Filler,Because the snake is highly poisonous, it is brightly colored.,Is the poisonous animal a snake? ,Yes,1,5.248869100003503
999,75,4,30,SemCrit,The archeologists found the mummy of a young Egyptian pheromone.,Was the mummy discovered by a paleontologist? ,No,2,3.0743378000333905
999,76,4,96,Filler,The doctor warned the medication could cause nausea and vomiting.,Did the doctor warn about addiction? ,No,2,2.327528199995868
999,77,4,166,Filler,Children should never use lighters or fireworks without adult supervision.,Do the kids to be watched? ,Yes,1,19.065121700055897
999,78,4,32,GoodExp,After a good night's sleep she felt invigorated and refreshed.,Did she sleep well? ,Yes,1,2.1747130999574438
999,79,4,67,Filler,Even after being caught, the cold-blooded killer showed no remorse.,Did the murderer feel guilty? ,No,2,1.6104449999984354
999,80,4,53,Filler,She left the snuffed out cigarette smoldering in the ashtray.,Did she throw the cigarette on the sidewalk? ,No,2,2.145575699978508
999,81,4,237,Filler,After the tornado, it took days to restore the electricity.,Did the weather disrupt the electricity? ,Yes,1,12.885860500042327
999,82,4,141,Control,The retiree found he soon tired of all this leisure.,NA,NA,return,1.4550144999520853
999,83,4,225,Filler,Barely able to stand the suspense, she quivered with anticipation.,Did she seem bored? ,No,2,1.402899399981834
999,84,4,11,SemCrit,Up on the tree branch perched a bright red carnival.,Does the sentence mention a tree? ,Yes,1,1.9950135999824852
999,85,4,31,GoodExp,The reader was drawn in by the article's sensational headline.,Was the reader interested? ,Yes,1,1.7351601000409573
999,86,4,7,SemCrit,Clownfish have evolved invulnerability to the poison tentacles of amenities.,NA,NA,return,1.6224964000284672
999,87,4,3,GoodExp,The dentist gave her some dental floss and a toothbrush.,NA,NA,return,1.4251400999492034
999,88,4,229,Filler,The surgeon asked the nurse to hand him a scalpel.,NA,NA,return,0.9115205999696627
999,89,4,137,Filler,The eagerly awaited package was delivered by a cheerful postman.,NA,NA,return,0.7090789000503719
999,90,4,140,Control,The ambassador who negotiated the deal was a skilled diplomat.,NA,NA,return,1.0290365999098867
